caldt,vwretd,ewretd
19570531,0.038734,0.023925
19570628,-0.000705,-0.007865
19570731,0.009747,0.002362
19570830,-0.048998,-0.051084
19570930,-0.057879,-0.049284
19571031,-0.038834,-0.055624
19571129,0.023703,0.023873
19571231,-0.037422,-0.048022
19580131,0.045518,0.099789
19580228,-0.014109,-0.011325
19580331,0.033052,0.039061
19580430,0.033511,0.033179
19580529,0.021313,0.034512
19580630,0.027998,0.026758
19580731,0.043960,0.056779
19580829,0.017999,0.028990
19580930,0.050837,0.053745
19581031,0.027370,0.028065
19581128,0.028617,0.039041
19581231,0.054112,0.039755
19590130,0.006331,0.033378
19590227,0.006711,0.024427
19590331,0.003352,0.005580
19590430,0.040054,0.028593
19590529,0.023631,0.012160
19590630,-0.000725,0.006939
19590731,0.034504,0.028023
19590831,-0.011076,-0.014613
19590930,-0.043182,-0.040954
19591030,0.012574,0.013011
19591130,0.018486,0.015520
19591231,0.029627,0.017537
19600129,-0.069933,-0.049087
19600229,0.013922,0.007490
19600331,-0.012566,-0.025784
19600429,-0.016113,-0.015902
19600531,0.033513,0.025842
19600630,0.021802,0.020119
19600729,-0.022948,-0.018612
19600831,0.031467,0.034033
19600930,-0.058713,-0.060560
19601031,-0.001079,-0.011490
19601130,0.046081,0.047319
19601230,0.048839,0.039062
19610131,0.064320,0.078330
19610228,0.032838,0.056078
19610330,0.029345,0.035927
19610428,0.004537,0.000684
19610531,0.023553,0.043181
19610630,-0.026673,-0.036306
19610731,0.033795,0.017996
19610831,0.024730,0.027919
19610929,-0.018674,-0.025485
19611031,0.028175,0.022914
19611130,0.045226,0.041196
19611229,0.004696,-0.001532
19620131,-0.037356,-0.012560
19620228,0.020592,0.014284
19620330,-0.003842,-0.008335
19620430,-0.061743,-0.067393
19620531,-0.079847,-0.089426
19620629,-0.080669,-0.081229
19620731,0.065203,0.057917
19620831,0.021669,0.021886
19620928,-0.048816,-0.058491
19621031,0.008313,-0.008516
19621130,0.108268,0.132839
19621231,0.015534,-0.003741
19630131,0.050367,0.073533
19630228,-0.024189,-0.013529
19630329,0.036581,0.024483
19630430,0.049070,0.045601
19630531,0.019674,0.032577
19630628,-0.018605,-0.015077
19630731,-0.001821,-0.011361
19630830,0.053466,0.057987
19630930,-0.010402,-0.019518
19631031,0.034825,0.026247
19631129,-0.004487,-0.004267
19631231,0.026065,0.017259
19640131,0.027391,0.019843
19640228,0.017015,0.028215
19640331,0.017232,0.032726
19640430,0.006192,0.002203
19640528,0.016815,0.018079
19640630,0.018084,0.020368
19640731,0.018910,0.024316
19640831,-0.011621,-0.008929
19640930,0.030399,0.034314
19641030,0.008745,0.016293
19641130,0.001598,-0.000224
19641231,0.005228,-0.008076
19650129,0.034791,0.056642
19650226,0.003746,0.025174
19650331,-0.012213,0.001846
19650430,0.035612,0.031638
19650528,-0.003122,-0.006473
19650630,-0.046880,-0.067641
19650730,0.014486,0.024595
19650831,0.027560,0.042121
19650930,0.033366,0.030380
19651029,0.028812,0.039076
19651130,-0.003821,0.020357
19651231,0.010349,0.028025
19660131,0.005705,0.034103
19660228,-0.012750,0.003274
19660331,-0.023041,-0.023868
19660429,0.022158,0.025064
19660531,-0.049140,-0.067310
19660630,-0.014380,-0.010593
19660729,-0.012129,-0.012030
19660831,-0.071650,-0.086739
19660930,-0.006244,-0.013219
19661031,0.048333,0.025877
19661130,0.011223,0.029148
19661230,0.000326,0.012243
19670131,0.079215,0.123985
19670228,0.007514,0.009006
19670331,0.041137,0.050558
19670428,0.043371,0.037676
19670531,-0.046810,-0.028494
19670630,0.019319,0.036536
19670731,0.046454,0.067561
19670831,-0.006824,0.004667
19670929,0.033815,0.026207
19671031,-0.027448,-0.049521
19671130,0.006435,-0.000446
19671229,0.027079,0.045376
19680131,-0.041875,-0.012453
19680229,-0.026900,-0.030877
19680329,0.009696,0.003825
19680430,0.084092,0.102252
19680531,0.016374,0.042876
19680628,0.009916,0.020069
19680730,-0.017444,-0.026167
19680830,0.016415,0.025886
19680930,0.039351,0.054931
19681031,0.008587,0.013221
19681129,0.053580,0.068079
19681231,-0.040826,-0.024460
19690131,-0.007547,-0.004498
19690228,-0.042321,-0.063398
19690328,0.034847,0.021137
19690430,0.022771,0.011765
19690529,0.003854,-0.005287
19690630,-0.054357,-0.082492
19690731,-0.058632,-0.069726
19690829,0.045728,0.044136
19690930,-0.023941,-0.018318
19691031,0.046900,0.064115
19691128,-0.029152,-0.043121
19691231,-0.016922,-0.039930
19700130,-0.075398,-0.058388
19700227,0.059521,0.068592
19700331,0.002806,0.003637
19700430,-0.088831,-0.108801
19700529,-0.054689,-0.082317
19700630,-0.049032,-0.058854
19700731,0.075523,0.081903
19700831,0.049778,0.062742
19700930,0.034702,0.065250
19701030,-0.009032,-0.032163
19701130,0.054387,0.046937
19701231,0.058684,0.084505
19710129,0.042828,0.083935
19710226,0.013317,0.021101
19710331,0.039068,0.039888
19710430,0.036965,0.041374
19710528,-0.037150,-0.041095
19710630,0.002439,-0.005647
19710730,-0.040827,-0.042866
19710831,0.042036,0.052668
19710930,-0.005038,-0.014162
19711029,-0.040129,-0.054981
19711130,0.002898,-0.017273
19711231,0.087880,0.108969
19720131,0.019088,0.038139
19720229,0.030221,0.027578
19720330,0.007315,0.001281
19720428,0.005476,0.004670
19720531,0.022019,0.000945
19720630,-0.020156,-0.031020
19720731,0.003245,-0.020226
19720831,0.039425,0.041005
19720929,-0.003277,-0.021428
19721031,0.010878,0.003161
19721130,0.050297,0.073014
19721229,0.013663,-0.011839
19730131,-0.016752,-0.049043
19730228,-0.033818,-0.048057
19730330,-0.001093,-0.013546
19730430,-0.040064,-0.048872
19730531,-0.013950,-0.046895
19730629,-0.005178,-0.026751
19730731,0.039128,0.074206
19730831,-0.031544,-0.020430
19730928,0.042219,0.095102
19731031,0.000312,0.000370
19731130,-0.107220,-0.150922
19731231,0.017971,0.010212
19740131,-0.008120,0.070594
19740228,0.001992,0.015250
19740329,-0.021818,-0.020739
19740430,-0.037649,-0.054491
19740531,-0.026896,-0.062036
19740628,-0.012816,-0.028428
19740731,-0.076698,-0.048018
19740830,-0.082177,-0.088521
19740930,-0.117511,-0.080483
19741031,0.168113,0.136543
19741129,-0.045688,-0.040366
19741231,-0.018021,-0.034578
19750131,0.123610,0.231295
19750228,0.067460,0.047101
19750331,0.024014,0.068629
19750430,0.049424,0.043086
19750530,0.051193,0.059038
19750630,0.046220,0.064031
19750731,-0.065504,-0.054769
19750829,-0.015663,-0.028157
19750930,-0.032250,-0.035548
19751031,0.064855,0.048020
19751128,0.030089,0.035285
19751231,-0.010485,-0.002209
19760130,0.120143,0.160253
19760227,-0.005756,0.035711
19760331,0.032640,0.019319
19760430,-0.009610,-0.008644
19760528,-0.008116,-0.016461
19760630,0.043959,0.054092
19760730,-0.007202,-0.006056
19760831,0.001599,-0.010466
19760930,0.024421,0.019880
19761029,-0.020211,-0.024064
19761130,-0.001041,0.022976
19761231,0.053775,0.074751
19770131,-0.049654,-0.033987
19770228,-0.015638,-0.018894
19770331,-0.012502,0.000757
19770429,0.000641,0.008245
19770531,-0.015064,-0.013983
19770630,0.047776,0.052666
19770729,-0.015453,-0.017614
19770831,-0.012310,-0.014606
19770930,-0.000825,-0.001940
19771031,-0.041984,-0.037299
19771130,0.036752,0.062860
19771230,0.005570,0.001322
19780131,-0.060643,-0.052203
19780228,-0.016260,-0.010106
19780331,0.026925,0.052852
19780428,0.088964,0.084346
19780531,0.013719,0.033585
19780630,-0.016578,-0.012138
19780731,0.056974,0.061513
19780831,0.033641,0.050556
19780929,-0.005163,-0.008445
19781031,-0.089570,-0.132708
19781130,0.026771,0.028728
19781229,0.016627,0.009073
19790131,0.042697,0.068738
19790228,-0.028649,-0.030595
19790330,0.057361,0.072952
19790430,0.004183,0.010733
19790531,-0.016818,-0.012932
19790629,0.040324,0.051772
19790731,0.012051,0.027324
19790831,0.061865,0.071897
19790928,0.001416,-0.000964
