PERMNO,date,PRC
17778,20081219,96540.00000
17778,20081222,94500.00000
17778,20081223,96900.00000
17778,20081224,94000.00000
17778,20081226,93400.00000
17778,20081229,92590.00000
17778,20081230,92000.00000
17778,20081231,96600.00000
17778,20090102,99990.00000
17778,20090105,102600.00000
17778,20090106,100090.00000
17778,20090107,96490.00000
17778,20090108,98700.00000
17778,20090109,94750.00000
17778,20090112,94324.00000
17778,20090113,95300.00000
17778,20090114,93150.00000
17778,20090115,92900.00000
17778,20090116,90660.00000
17778,20090120,86250.00000
17778,20090121,88350.00000
17778,20090122,88800.00000
17778,20090123,86250.00000
17778,20090126,85001.00000
17778,20090127,86111.89844
17778,20090128,90300.00000
17778,20090129,87400.00000
17778,20090130,89502.00000
17778,20090202,89400.00000
17778,20090203,90500.00000
17778,20090204,90290.00000
17778,20090205,87020.00000
17778,20090206,89350.00000
17778,20090209,90000.00000
17778,20090210,88100.00000
17778,20090211,90400.00000
17778,20090212,89182.00000
17778,20090213,88140.00000
17778,20090217,84000.00000
17778,20090218,80000.00000
17778,20090219,78600.00000
17778,20090220,77000.00000
17778,20090223,75600.00000
17778,20090224,79900.00000
17778,20090225,79995.00000
17778,20090226,78350.00000
17778,20090227,78600.00000
17778,20090302,75750.00000
17778,20090303,75000.00000
17778,20090304,75025.00000
17778,20090305,72400.00000
17778,20090306,73195.00000
17778,20090309,73195.00000
17778,20090310,84844.00000
17778,20090311,83700.00000
17778,20090312,85700.00000
17778,20090313,83550.00000
17778,20090316,81690.00000
17778,20090317,82200.00000
17778,20090318,83350.00000
17778,20090319,85000.00000
17778,20090320,84574.00000
17778,20090323,90000.00000
17778,20090324,88500.00000
17778,20090325,86850.00000
17778,20090326,91900.00000
17778,20090327,89600.00000
17778,20090330,85600.00000
17778,20090331,86700.00000
17778,20090401,87600.00000
17778,20090402,90010.00000
17778,20090403,92490.00000
17778,20090406,91400.00000
17778,20090407,89000.00000
17778,20090408,88960.00000
